#,Name,Symbol,MarketCap,Price,CirculatingSupply,Volume24h,%1h,%24h,%7d
1,BTC  Bitcoin,BTC,285875344970.0,17029.2,16787362.0,16426600000.0,-0.14,0.09,28.57
2,XRP  Ripple,XRP,125500495821.0,3.24,38739144847.0,2432480000.0,0.09,5.38,46.89
3,ETH  Ethereum,ETH,109221561481.0,1128.02,96825909.0,5190980000.0,0.61,8.79,55.24
4,BCH  Bitcoin Cash,BCH,50037882844.0,2961.15,16898125.0,1890020000.0,0.33,13.22,20.24
5,ADA  Cardano,ADA,26311828265.0,1.01,25927070538.0,252846000.0,1.21,0.03,44.82
6,LTC  Litecoin,LTC,16542288436.0,302.68,54652008.0,1549920000.0,0.58,-0.39,37.61
7,XEM  NEM,XEM,15772769998.0,1.75,8999999999.0,75297500.0,3.31,5.9,85.74
8,XLM  Stellar,XLM,12403983759.0,0.693819,17877838108.0,422846000.0,1.09,-5.9,113.45
9,TRX  TRON,TRX,11252408653.0,0.17114400000000002,65748192475.0,1826270000.0,4.43,-2.03,351.89
10,MIOTA  IOTA,MIOTA,11161231647.0,4.02,2779530283.0,158766000.0,0.3,-1.27,16.57
11,DASH  Dash,DASH,10642406762.0,1363.8,7803495.0,249457000.0,0.57,11.48,34.41
12,XMR  Monero,XMR,7591916544.0,487.5,15573258.0,344682000.0,1.25,19.94,44.0
13,EOS  EOS,EOS,7543222764.0,12.82,588606112.0,923843000.0,0.69,17.79,49.31
14,QTUM  Qtum,QTUM,6927777134.0,93.89,73789796.0,2561260000.0,-1.43,50.84,55.31
15,NEO  NEO,NEO,6898320000.0,106.13,65000000.0,206675000.0,1.19,6.81,47.67
16,BTG  Bitcoin Gold,BTG,5353487794.0,319.61,16750011.0,249868000.0,1.81,13.64,23.63
17,LSK  Lisk,LSK,4574030789.0,39.18,116746108.0,204769000.0,9.2,28.97,104.8
18,ETC  Ethereum Classic,ETC,4035985148.0,40.79,98939392.0,420218000.0,0.77,9.77,50.17
19,XRB  RaiBlocks,XRB,3700984558.0,27.78,133248289.0,47989600.0,0.19,-15.23,89.59
20,ICX  ICON,ICX,3104841273.0,8.2,378545005.0,164764000.0,1.03,8.23,58.05
21,SC  Siacoin,SC,3033894374.0,0.09663300000000001,31396146174.0,338806000.0,5.91,7.78,225.09
22,BCN  Bytecoin,BCN,2988938451.0,0.016309999999999998,183253534612.0,41058100.0,3.38,3.23,205.72
23,XVG  Verge,XVG,2626495978.0,0.181016,14509744871.0,284831000.0,-0.73,0.81,-9.48
24,ZEC  Zcash,ZEC,2587124998.0,861.29,3003769.0,507826000.0,-0.15,33.2,75.93
25,BCC  BitConnect,BCC,2469228162.0,399.99,6173225.0,18984000.0,-2.56,-6.34,3.17
26,BTS  BitShares,BTS,2146860591.0,0.8235680000000001,2606780000.0,69722500.0,-0.66,6.05,33.26
27,BNB  Binance Coin,BNB,2098393801.0,21.19,99014000.0,508297000.0,-0.67,35.39,160.68
28,OMG  OmiseGO,OMG,2072310754.0,20.31,102042552.0,115835000.0,0.99,4.43,16.92
29,DOGE  Dogecoin,DOGE,1828816295.0,0.016233,112662483414.0,205117000.0,3.07,16.01,97.11
30,SNT  Status,SNT,1767985909.0,0.5094350000000001,3470483788.0,71174300.0,-0.12,1.57,201.59
31,ARDR  Ardor,ARDR,1755721632.0,1.76,998999495.0,6012640.0,4.68,9.65,12.45
32,PPT  Populous,PPT,1713800801.0,46.31,37004027.0,3361020.0,3.0,11.93,23.08
33,STRAT  Stratis,STRAT,1712250957.0,17.35,98691091.0,38309800.0,1.56,6.03,31.38
34,STEEM  Steem,STEEM,1551569475.0,6.3,246166773.0,29234800.0,-0.01,5.23,130.66
35,KCS  KuCoin Shares,KCS,1516003780.0,16.65,91043076.0,34999900.0,13.41,66.36,435.25
36,USDT  Tether,USDT,1482271584.0,1.01,1468089837.0,2468240000.0,0.76,0.79,0.17
37,WAVES  Waves,WAVES,1321600000.0,13.22,100000000.0,64310500.0,1.42,8.9,9.72
38,VEN  VeChain,VEN,1292935969.0,4.66,277162633.0,184541000.0,0.34,17.26,119.84
39,DGB  DigiByte,DGB,1230824822.0,0.127391,9661787896.0,118437000.0,1.29,-1.66,82.99
40,DRGN  Dragonchain,DRGN,1154760903.0,4.84,238421940.0,21084900.0,-3.0,36.72,300.78
41,HSR  Hshare,HSR,1085708589.0,25.57,42467059.0,270234000.0,-0.69,6.98,0.89
42,KIN  Kin,KIN,1080849024.0,0.00143,756097560976.0,9196790.0,11.3,0.6,346.5
43,KMD  Komodo,KMD,1030697659.0,9.92,103915115.0,15747000.0,1.2,8.61,10.88
44,ETN  Electroneum,ETN,984693879.0,0.197037,4997507466.0,44363600.0,5.96,47.63,149.55
45,DCN  Dentacoin,DCN,975951119.0,0.003001,325190215376.0,16387800.0,-2.55,120.99,471.24
46,GNT  Golem,GNT,900969590.0,1.08,834262000.0,35326200.0,1.0,5.19,49.25
